Country Name,Year,Account ownership at a financial institution or with a mobile-money-service provider (% of population ages 15+),"Account ownership at a financial institution or with a mobile-money-service provider, poorest 40% (% of population ages 15+)",Domestic credit to private sector (% of GDP),Domestic credit to private sector by banks (% of GDP),Bank nonperforming loans to total gross loans (%),Bank capital to assets ratio (%),Broad money (% of GDP),Broad money growth (annual %),"Commercial bank branches (per 100,000 adults)","Automated teller machines (ATMs) (per 100,000 adults)","Borrowers from commercial banks (per 1,000 adults)","Depositors with commercial banks (per 1,000 adults)",Market capitalization of listed domestic companies (% of GDP),"Stocks traded, total value (% of GDP)","Stocks traded, turnover ratio of domestic shares (%)",FDI
Canada,2021,4.526609058538614,4.524080520675882,4.170932134337954,4.076854555863272,3.576000078962745,1.5532400990318027,4.2561310510639645,2.488335238804499,2.997075143291493,5.257324930475226,5.683105875348143,6.812550953979721,4.999756705777324,4.614352486586535,4.143450130529974,68.64425277182055
Canada,2022,,,,,,,,,,,,,,,,
Canada,2022,4.526609058538614,4.524080520675882,4.113243471296957,4.024253218044108,3.6753092098946705,1.5749897144793052,4.200978713659815,2.3174486825525635,2.952398241175792,4.09435315757557,5.694598139702335,6.889219754708911,4.761147064428553,4.568703035732735,4.337422997762128,67.4030875724259
Canada,2023,,,,,,,,,,,,,,,,
Canada,2023,4.267436011574152,4.189795067314174,4.091589113296972,3.998833360966371,1.3964673926673579,2.1731540273887227,4.20006112206934,2.5658460158646195,2.9147439517896734,4.09435315757557,5.716849047814561,6.937132465448944,3.999266767780342,3.464564877735565,3.67672556872098,60.328734586157175
Colombia,2021,,,,,,,,,,,,,,,,
Colombia,2021,4.030466197298305,3.8114180866073,3.816352005005917,3.815960611769818,1.4945346290896147,2.480926434674138,3.943852737648511,2.459717346998202,2.516225655145641,3.641154528852299,5.429171528746157,7.17612167319412,3.307550155867592,0.8086905832604647,2.053700092244462,54.09436996723041
Colombia,2022,,,,,,,,,,,,,,,,
Colombia,2022,4.030466197298305,3.8114180866073,3.738475010526676,3.7381207428409504,1.6995494597829626,2.3536404943524905,3.837019008504944,2.323630340752956,2.5267813563730903,4.09435315757557,5.528124786019411,7.218830635405445,2.9545783879460634,0.6313769423600017,2.2337293019146043,53.651555454401965
Colombia,2023,,,,,,,,,,,,,,,,
Colombia,2023,4.267436011574152,4.189795067314174,3.687683188430568,3.68725427467894,1.3964673926673579,2.1731540273887227,3.828763764537134,1.7935588024510103,2.528247651644225,4.09435315757557,5.519242449715216,7.189847125942193,3.999266767780342,3.464564877735565,3.67672556872098,56.76124256608577
Costa Rica,2021,,,,,,,,,,,,,,,,
Costa Rica,2021,4.16347411700789,3.989098189141475,3.978165096625197,3.96029231836553,1.7880684203634871,1.9915816163137947,3.932776092219121,2.15444382488688,2.762816461282923,4.110178863136198,5.3395393535566935,7.1680701213364815,1.1401847202091693,-3.0334112388284407,0.4584426067077022,47.70608064066187
Costa Rica,2022,,,,,,,,,,,,,,,,
Costa Rica,2022,4.16347411700789,3.989098189141475,3.9082657487382586,3.889486878837482,1.8558941324871392,2.2528040865898413,3.807098615353816,-1.2862740321427866,2.7355006985761934,4.09435315757557,5.3753322388165605,7.25508618993864,1.1655811002765784,-2.7900983133753043,0.6704141112924751,45.21137530971707
Costa Rica,2023,,,,,,,,,,,,,,,,
Costa Rica,2023,4.267436011574152,4.189795067314174,3.8793651038174657,3.859743905837097,1.3964673926673579,2.1731540273887227,3.806669533594299,1.5949006644312786,2.7355006985761934,4.09435315757557,5.3753322388165605,7.25508618993864,3.999266767780342,3.464564877735565,3.67672556872098,57.450413074649965
Cote d'Ivoire,2021,,,,,,,,,,,,,,,,
Cote d'Ivoire,2021,3.872499575921545,3.7336869991166273,3.0114599801590547,3.010543784557679,1.3207159901784808,2.1707382893318745,3.600054645879016,2.900436012768067,1.5473317968532914,1.9792045119805743,5.683105875348143,5.718464835063924,4.071611734794018,3.529075770284782,3.712903298269079,46.43267200167903
Cote d'Ivoire,2022,,,,,,,,,,,,,,,,
Cote d'Ivoire,2022,3.872499575921545,3.7336869991166273,3.015201148491005,3.0143719444223995,1.4785378296904343,2.175563809910606,3.6049796168293033,2.17819616824086,1.4274778469329148,4.09435315757557,5.694598139702335,5.516097248713324,3.9210523049160178,3.395447459449998,3.639141274750644,47.389079847631564
Cote d'Ivoire,2023,,,,,,,,,,,,,,,,
Cote d'Ivoire,2023,4.267436011574152,4.189795067314174,3.0761889572380188,3.0754398758776955,1.3964673926673579,2.1731540273887227,3.5501810451144693,1.1967410419373894,1.4274778469329148,4.09435315757557,5.716849047814561,5.516097248713324,3.999266767780342,3.464564877735565,3.67672556872098,48.46370256150651
Croatia,2021,,,,,,,,,,,,,,,,
Croatia,2021,4.447383359657331,4.366674376248888,3.912126174592272,3.911842547902874,0.8704851145275585,2.433256045286605,4.2561310510639645,2.488335238804499,3.252678634475505,4.860195227729794,6.170284871940613,7.1102572515112135,3.373369752363379,-0.9720746424703448,0.2216069147115543,55.34584104782698
Croatia,2022,,,,,,,,,,,,,,,,
Croatia,2022,4.239748677276883,4.146253214804603,3.868314503393629,3.868058393671842,1.1418741509880839,2.2779168278120525,4.200978713659815,2.3174486825525635,3.2291636721637027,4.09435315757557,6.125088788948526,7.149882509973813,3.262982306561915,-1.076487711646229,0.23100015198321,52.75014047956608
Croatia,2023,,,,,,,,,,,,,,,,
Croatia,2023,4.267436011574152,4.189795067314174,3.800064424986593,3.799799844247745,1.3964673926673579,2.1731540273887227,4.20006112206934,2.5658460158646195,3.170838147163777,4.09435315757557,6.103614584249052,7.141120457732689,3.999266767780342,3.464564877735565,3.67672556872098,60.40259525485608
Cyprus,2021,,,,,,,,,,,,,,,,
Cyprus,2021,4.461309424804964,4.436244798376317,4.399759392859849,4.399068649523285,0.4201644835651175,1.979256683706624,4.2561310510639645,2.488335238804499,3.2736387292651545,3.623223212367187,5.639892420753675,7.016767212801231,2.8932875053431,-2.381017295706334,-0.6810941834094473,49.41473808390602
Cyprus,2022,,,,,,,,,,,,,,,,
Cyprus,2022,4.239748677276883,4.146253214804603,4.203293595697546,4.202600225134948,0.5789433834888027,1.913837899574075,4.200978713659815,2.3174486825525635,3.050910703704861,4.09435315757557,5.639735548497818,6.969268780958658,3.015784334437277,-1.9147271928022624,-0.3457377176584731,47.9293784405152
Cyprus,2023,,,,,,,,,,,,,,,,
Cyprus,2023,4.267436011574152,4.189795067314174,4.077691544296627,4.076851213045609,1.3964673926673579,2.1731540273887227,4.20006112206934,2.5658460158646195,3.0173089935088795,4.09435315757557,5.658762340193072,6.9656162115242575,3.999266767780342,3.464564877735565,3.67672556872098,60.577627924882826
Czechia,2021,,,,,,,,,,,,,,,,
