Country Name,Year,CPIA gender equality rating (1=low to 6=high),"Account ownership at a financial institution or with a mobile-money-service provider, poorest 40% (% of population ages 15+)","Access to electricity, rural (% of rural population)","Access to clean fuels and technologies for cooking, rural (% of rural population)",GOAL 2: Zero Hunger (5 year moving average),Newborns protected against tetanus (%),"School enrollment, primary (% gross)","Life expectancy at birth, total (years)",People using at least basic sanitation services (% of population),Gini index,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",Poverty headcount ratio at $6.85 a day (2017 PPP) (% of population),Social_Equity_Index
Costa Rica,2022,1.2904492808032562,3.989098189141475,4.530195927798776,4.428208925912166,-0.1054002017288398,4.464572606707027,4.60115728674379,4.305783977840881,4.514426878100972,3.8017793242663744,3.257315579097382,2.6213047656185338,66.7413685315201
Costa Rica,2023,1.2904492808032562,4.189795067314174,4.530195927798776,4.268685704379358,-0.3571300238567617,4.463036562993165,4.60115728674379,4.323737331037643,4.430623698940526,3.791418622098706,3.142226595841181,2.5186530736955857,63.55337029013109
Cote d'Ivoire,2021,1.24717034366542,3.7336869991166273,3.7596526463872535,1.8593352801383127,-0.3571300238567617,4.384178472983526,4.457031457616055,4.039691480006754,3.5458584816877705,3.518869753254099,5.996725705263154,4.269474836687437,29.334045002912656
Cote d'Ivoire,2022,1.24717034366542,3.7336869991166273,3.761803182415023,1.9872302552223304,-0.3571300238567617,4.349780179805614,4.476970902151026,4.059965602701667,3.563714717588569,3.518869753254099,5.886289136570312,4.269474836687437,29.092428330365074
Cote d'Ivoire,2023,1.24717034366542,4.189795067314174,3.8181287052871977,4.268685704379358,-0.2233216140000439,4.361383491624109,4.54603512709624,4.065971895859735,4.430623698940526,3.518869753254099,5.761324677044128,4.269474836687437,42.096496929430735
Croatia,2021,1.2904492808032562,4.366674376248888,4.530195927798776,4.530195927798776,-0.6948672334338909,4.464572606707027,4.527717068298465,4.269784287796243,4.492430927592583,3.3237207242152764,2.462967195874403,0.5865535466977891,66.25668646608241
Croatia,2022,1.2904492808032562,4.146253214804603,4.530195927798776,4.530195927798776,-0.6948672334338909,4.464572606707027,4.5352911864067,4.28427835851358,4.492430927592583,3.3237207242152764,1.780333829303916,0.5865535466977891,67.81160432024109
Croatia,2023,1.2904492808032562,4.189795067314174,4.530195927798776,4.268685704379358,-0.6948672334338909,4.463036562993165,4.5352911864067,4.295429316327595,4.430623698940526,3.3237207242152764,1.0943097372145796,0.5865535466977891,68.3078223181184
Cyprus,2021,1.2904492808032562,4.436244798376317,4.530195927798776,4.530195927798776,-0.6948672334338909,4.464572606707027,4.521475143730415,4.321022891587426,4.524336403636174,3.401579615928653,4.510646037948736,-2.3216392926406413,67.7018815244645
Cyprus,2022,1.2904492808032562,4.146253214804603,4.530195927798776,4.530195927798776,-0.6948672334338909,4.464572606707027,4.5007362455862925,4.319349580090324,4.524341228225046,3.401579615928653,3.9144809751271215,-2.3216392926406413,68.2390877555962
